latitude,longitude,name,desc,address,año,ciudad,participantes,país,radiodifusora
59.2774548,18.015006,St. Eriks Mässan Älvsjö,"Año: 1975<br>Ciudad: Estocolmo<br>País: Suecia<br>Radiodifusora: SR<br>Participantes: 19<br>geo: St. Eriks Mässan Älvsjö, Estocolmo, Suecia","St. Eriks Mässan Älvsjö, Estocolmo, Suecia",1975,Estocolmo,19,Suecia,SR
52.0933348,4.2835977,Centro de Congresos de los Países Bajos,"Año: 1976<br>Ciudad: La Haya<br>País: Países Bajos<br>Radiodifusora: NOS<br>Participantes: 18<br>geo: Centro de Congresos de los Países Bajos, La Haya, Países Bajos","Centro de Congresos de los Países Bajos, La Haya, Países Bajos",1976,La Haya,18,Países Bajos,NOS
51.5558689,-0.2852598,Centro de Congresos de Wembley,"Año: 1977<br>Ciudad: Londres<br>País: Reino Unido<br>Radiodifusora: BBC<br>Participantes: 18<br>geo: Centro de Congresos de Wembley, Londres, Reino Unido","Centro de Congresos de Wembley, Londres, Reino Unido",1977,Londres,18,Reino Unido,BBC
48.8793837,2.2836443,Palais des congrès de Paris,"Año: 1978<br>Ciudad: París<br>País: Francia<br>Radiodifusora: TF1<br>Participantes: 20<br>geo: Palais des congrès de Paris, París, Francia","Palais des congrès de Paris, París, Francia",1978,París,20,Francia,TF1
31.7864423,35.2023975,Centro Internacional de Convenciones de Jerusalén,"Año: 1979<br>Ciudad: Jerusalén<br>País: Israel<br>Radiodifusora: IBA<br>Participantes: 19<br>geo: Centro Internacional de Convenciones de Jerusalén, Jerusalén, Israel","Centro Internacional de Convenciones de Jerusalén, Jerusalén, Israel",1979,Jerusalén,19,Israel,IBA
52.0933348,4.2835977,Centro de Congresos de los Países Bajos,"Año: 1980<br>Ciudad: La Haya<br>País: Países Bajos<br>Radiodifusora: NOS<br>Participantes: 19<br>geo: Centro de Congresos de los Países Bajos, La Haya, Países Bajos","Centro de Congresos de los Países Bajos, La Haya, Países Bajos",1980,La Haya,19,Países Bajos,NOS
53.3230067,-6.2249893,RDS Simmonscourt Pavilion,"Año: 1981<br>Ciudad: Dublín<br>País: Irlanda<br>Radiodifusora: RTÉ<br>Participantes: 20<br>geo: RDS Simmonscourt Pavilion, Dublín, Irlanda","RDS Simmonscourt Pavilion, Dublín, Irlanda",1981,Dublín,20,Irlanda,RTÉ
53.9958457,-1.5429121,Centro Internacional de Convenciones de Harrogate,"Año: 1982<br>Ciudad: Harrogate<br>País: Reino Unido<br>Radiodifusora: BBC<br>Participantes: 18<br>geo: Centro Internacional de Convenciones de Harrogate, Harrogate, Reino Unido","Centro Internacional de Convenciones de Harrogate, Harrogate, Reino Unido",1982,Harrogate,18,Reino Unido,BBC
48.1261064,11.5253135,Rudi-Sedlmayer-Halle,"Año: 1983<br>Ciudad: Múnich<br>País: Alemania<br>Radiodifusora: ARD<br>Participantes: 20<br>geo: Rudi-Sedlmayer-Halle, Múnich, Alemania","Rudi-Sedlmayer-Halle, Múnich, Alemania",1983,Múnich,20,Alemania,ARD
49.6174228,6.1276309,Théâtre Municipal,"Año: 1984<br>Ciudad: Luxemburgo<br>País: Luxemburgo<br>Radiodifusora: RTL<br>Participantes: 19<br>geo: Théâtre Municipal, Luxemburgo, Luxemburgo","Théâtre Municipal, Luxemburgo, Luxemburgo",1984,Luxemburgo,19,Luxemburgo,RTL
57.6992836,11.9876696,Scandinavium,"Año: 1985<br>Ciudad: Gotemburgo<br>País: Suecia<br>Radiodifusora: SVT<br>Participantes: 19<br>geo: Scandinavium, Gotemburgo, Suecia","Scandinavium, Gotemburgo, Suecia",1985,Gotemburgo,19,Suecia,SVT
60.388862,5.3282038,Grieghallen,"Año: 1986<br>Ciudad: Bergen<br>País: Noruega<br>Radiodifusora: NRK<br>Participantes: 20<br>geo: Grieghallen, Bergen, Noruega","Grieghallen, Bergen, Noruega",1986,Bergen,20,Noruega,NRK
50.8998637,4.3372348,Palais du Centenaire,"Año: 1987<br>Ciudad: Bruselas<br>País: Bélgica<br>Radiodifusora: RTBF<br>Participantes: 22<br>geo: Palais du Centenaire, Bruselas, Bélgica","Palais du Centenaire, Bruselas, Bélgica",1987,Bruselas,22,Bélgica,RTBF
53.3230067,-6.2249893,RDS Simmonscourt Pavilion,"Año: 1988<br>Ciudad: Dublín<br>País: Irlanda<br>Radiodifusora: RTÉ<br>Participantes: 21<br>geo: RDS Simmonscourt Pavilion, Dublín, Irlanda","RDS Simmonscourt Pavilion, Dublín, Irlanda",1988,Dublín,21,Irlanda,RTÉ
46.5293402,6.623266,Palais de Beaulieu,"Año: 1989<br>Ciudad: Lausana<br>País: Suiza<br>Radiodifusora: SRG SSR<br>Participantes: 22<br>geo: Palais de Beaulieu, Lausana, Suiza","Palais de Beaulieu, Lausana, Suiza",1989,Lausana,22,Suiza,SRG SSR
45.8009981,15.9798322,Sala de Conciertos Vatroslav Lisinski,"Año: 1990<br>Ciudad: Zagreb<br>País: Yugoslavia<br>Radiodifusora: JRT<br>Participantes: 22<br>geo: Sala de Conciertos Vatroslav Lisinski, Zagreb, Yugoslavia","Sala de Conciertos Vatroslav Lisinski, Zagreb, Yugoslavia",1990,Zagreb,22,Yugoslavia,JRT
41.8517904,12.5771795,Estudios Cinecittà,"Año: 1991<br>Ciudad: Roma<br>País: Italia<br>Radiodifusora: RAI<br>Participantes: 22<br>geo: Estudios Cinecittà, Roma, Italia","Estudios Cinecittà, Roma, Italia",1991,Roma,22,Italia,RAI
55.5830567,12.9904641,Malmö Isstadion,"Año: 1992<br>Ciudad: Malmö<br>País: Suecia<br>Radiodifusora: SVT<br>Participantes: 23<br>geo: Malmö Isstadion, Malmö, Suecia","Malmö Isstadion, Malmö, Suecia",1992,Malmö,23,Suecia,SVT
52.0627789,-9.0628266,Green Glens Arena,"Año: 1993<br>Ciudad: Millstreet<br>País: Irlanda<br>Radiodifusora: RTÉ<br>Participantes: 25<br>geo: Green Glens Arena, Millstreet, Irlanda","Green Glens Arena, Millstreet, Irlanda",1993,Millstreet,25,Irlanda,RTÉ
53.3474963,-6.2285078,Point Theatre,"Año: 1994<br>Ciudad: Dublín<br>País: Irlanda<br>Radiodifusora: RTÉ<br>Participantes: 25<br>geo: Point Theatre, Dublín, Irlanda","Point Theatre, Dublín, Irlanda",1994,Dublín,25,Irlanda,RTÉ
53.3474963,-6.2285078,Point Theatre,"Año: 1995<br>Ciudad: Dublín<br>País: Irlanda<br>Radiodifusora: RTÉ<br>Participantes: 23<br>geo: Point Theatre, Dublín, Irlanda","Point Theatre, Dublín, Irlanda",1995,Dublín,23,Irlanda,RTÉ
59.9129853,10.7547424,Oslo Spektrum,"Año: 1996<br>Ciudad: Oslo<br>País: Noruega<br>Radiodifusora: NRK<br>Participantes: 23<br>geo: Oslo Spektrum, Oslo, Noruega","Oslo Spektrum, Oslo, Noruega",1996,Oslo,23,Noruega,NRK
53.3474963,-6.2285078,Point Theatre,"Año: 1997<br>Ciudad: Dublín<br>País: Irlanda<br>Radiodifusora: RTÉ<br>Participantes: 25<br>geo: Point Theatre, Dublín, Irlanda","Point Theatre, Dublín, Irlanda",1997,Dublín,25,Irlanda,RTÉ
52.479777,-1.915044,National Indoor Arena,"Año: 1998<br>Ciudad: Birmingham<br>País: Reino Unido<br>Radiodifusora: BBC<br>Participantes: 25<br>geo: National Indoor Arena, Birmingham, Reino Unido","National Indoor Arena, Birmingham, Reino Unido",1998,Birmingham,25,Reino Unido,BBC
31.7864423,35.2023975,Centro Internacional de Convenciones de Jerusalén,"Año: 1999<br>Ciudad: Jerusalén<br>País: Israel<br>Radiodifusora: IBA<br>Participantes: 23<br>geo: Centro Internacional de Convenciones de Jerusalén, Jerusalén, Israel","Centro Internacional de Convenciones de Jerusalén, Jerusalén, Israel",1999,Jerusalén,23,Israel,IBA
59.2935725,18.0835501,Globen Arena,"Año: 2000<br>Ciudad: Estocolmo<br>País: Suecia<br>Radiodifusora: SVT<br>Participantes: 24<br>geo: Globen Arena, Estocolmo, Suecia","Globen Arena, Estocolmo, Suecia",2000,Estocolmo,24,Suecia,SVT
55.7031114,12.5716352,Parken Stadion,"Año: 2001<br>Ciudad: Copenhague<br>País: Dinamarca<br>Radiodifusora: DR<br>Participantes: 23<br>geo: Parken Stadion, Copenhague, Dinamarca","Parken Stadion, Copenhague, Dinamarca",2001,Copenhague,23,Dinamarca,DR
59.4261914,24.6474653,Saku Suurhall,"Año: 2002<br>Ciudad: Tallin<br>País: Estonia<br>Radiodifusora: ERR<br>Participantes: 24<br>geo: Saku Suurhall, Tallin, Estonia","Saku Suurhall, Tallin, Estonia",2002,Tallin,24,Estonia,ERR
56.9614562,24.1148624,Skonto Hall,"Año: 2003<br>Ciudad: Riga<br>País: Letonia<br>Radiodifusora: LTV<br>Participantes: 26<br>geo: Skonto Hall, Riga, Letonia","Skonto Hall, Riga, Letonia",2003,Riga,26,Letonia,LTV
40.9968388,28.9194125,Abdi İpekçi Arena,"Año: 2004<br>Ciudad: Estambul<br>País: Turquía<br>Radiodifusora: TRT<br>Participantes: 36<br>geo: Abdi İpekçi Arena, Estambul, Turquía","Abdi İpekçi Arena, Estambul, Turquía",2004,Estambul,36,Turquía,TRT
50.4371855,30.5224655,Palacio de los Deportes de Kiev,"Año: 2005<br>Ciudad: Kiev<br>País: Ucrania<br>Radiodifusora: NTU<br>Participantes: 39<br>geo: Palacio de los Deportes de Kiev, Kiev, Ucrania","Palacio de los Deportes de Kiev, Kiev, Ucrania",2005,Kiev,39,Ucrania,NTU
38.037713,23.7842981,Olympic Indoor Hall,"Año: 2006<br>Ciudad: Atenas<br>País: Grecia<br>Radiodifusora: ERT<br>Participantes: 37<br>geo: Olympic Indoor Hall, Atenas, Grecia","Olympic Indoor Hall, Atenas, Grecia",2006,Atenas,37,Grecia,ERT
60.205747,24.9291895,Hartwall Areena,"Año: 2007<br>Ciudad: Helsinki<br>País: Finlandia<br>Radiodifusora: YLE<br>Participantes: 42<br>geo: Hartwall Areena, Helsinki, Finlandia","Hartwall Areena, Helsinki, Finlandia",2007,Helsinki,42,Finlandia,YLE
44.8141461,20.4212894,Belgrade Arena,"Año: 2008<br>Ciudad: Belgrado<br>País: Serbia<br>Radiodifusora: RTS<br>Participantes: 43<br>geo: Belgrade Arena, Belgrado, Serbia","Belgrade Arena, Belgrado, Serbia",2008,Belgrado,43,Serbia,RTS
55.7812018,37.6260793,Estadio Olimpiski,"Año: 2009<br>Ciudad: Moscú<br>País: Rusia<br>Radiodifusora: C1R<br>Participantes: 42<br>geo: Estadio Olimpiski, Moscú, Rusia","Estadio Olimpiski, Moscú, Rusia",2009,Moscú,42,Rusia,C1R
59.9031487,10.623884,Telenor Arena,"Año: 2010<br>Ciudad: Oslo9​<br>País: Noruega<br>Radiodifusora: NRK<br>Participantes: 39<br>geo: Telenor Arena, Oslo9​, Noruega","Telenor Arena, Oslo9​, Noruega",2010,Oslo9​,39,Noruega,NRK
51.2617881,6.7335671,Esprit Arena,"Año: 2011<br>Ciudad: Düsseldorf<br>País: Alemania<br>Radiodifusora: ARD y NDR.<br>Participantes: 43<br>geo: Esprit Arena, Düsseldorf, Alemania","Esprit Arena, Düsseldorf, Alemania",2011,Düsseldorf,43,Alemania,ARD y NDR.
40.3442264,49.8502798,Baku Crystal Hall,"Año: 2012<br>Ciudad: Bakú<br>País: Azerbaiyán<br>Radiodifusora: İTV<br>Participantes: 42<br>geo: Baku Crystal Hall, Bakú, Azerbaiyán","Baku Crystal Hall, Bakú, Azerbaiyán",2012,Bakú,42,Azerbaiyán,İTV
55.5637646,12.9762167,Malmö Arena,"Año: 2013<br>Ciudad: Malmö<br>País: Suecia<br>Radiodifusora: SVT<br>Participantes: 39<br>geo: Malmö Arena, Malmö, Suecia","Malmö Arena, Malmö, Suecia",2013,Malmö,39,Suecia,SVT
55.6931475,12.6141962,B&W Hallerne,"Año: 2014<br>Ciudad: Copenhague<br>País: Dinamarca<br>Radiodifusora: DR<br>Participantes: 37<br>geo: B&W Hallerne, Copenhague, Dinamarca","B&W Hallerne, Copenhague, Dinamarca",2014,Copenhague,37,Dinamarca,DR
48.2024077,16.3337406,Wiener Stadthalle,"Año: 2015<br>Ciudad: Viena<br>País: Austria<br>Radiodifusora: ORF<br>Participantes: 40<br>geo: Wiener Stadthalle, Viena, Austria","Wiener Stadthalle, Viena, Austria",2015,Viena,40,Austria,ORF
59.2935725,18.0835501,Globen Arena,"Año: 2016<br>Ciudad: Estocolmo<br>País: Suecia<br>Radiodifusora: SVT<br>Participantes: 42<br>geo: Globen Arena, Estocolmo, Suecia","Globen Arena, Estocolmo, Suecia",2016,Estocolmo,42,Suecia,SVT
50.4520681,30.5914153,Centro Internacional de Exposiciones,"Año: 2017<br>Ciudad: Kiev<br>País: Ucrania<br>Radiodifusora: NTU<br>Participantes: 42<br>geo: Centro Internacional de Exposiciones, Kiev, Ucrania","Centro Internacional de Exposiciones, Kiev, Ucrania",2017,Kiev,42,Ucrania,NTU
38.7685312,-9.0940297,Altice Arena,"Año: 2018<br>Ciudad: Lisboa<br>País: Portugal<br>Radiodifusora: RTP<br>Participantes: 43<br>geo: Altice Arena, Lisboa, Portugal","Altice Arena, Lisboa, Portugal",2018,Lisboa,43,Portugal,RTP
32.1064109,34.8100852,Expo Tel Aviv,"Año: 2019<br>Ciudad: Tel Aviv<br>País: Israel<br>Radiodifusora: IPBC<br>Participantes: 41<br>geo: Expo Tel Aviv, Tel Aviv, Israel","Expo Tel Aviv, Tel Aviv, Israel",2019,Tel Aviv,41,Israel,IPBC
51.8827508,4.4881102,Rotterdam Ahoy,"Año: 2021<br>Ciudad: Róterdam<br>País: Países Bajos<br>Radiodifusora: AVROTROS, NPO y NOS<br>Participantes: 39<br>geo: Rotterdam Ahoy, Róterdam, Países Bajos","Rotterdam Ahoy, Róterdam, Países Bajos",2021,Róterdam,39,Países Bajos,"AVROTROS, NPO y NOS"
45.0415285,7.6521908,Pala Alpitour,"Año: 2022<br>Ciudad: Turín<br>País: Italia<br>Radiodifusora: RAI<br>Participantes: 41<br>geo: Pala Alpitour, Turín, Italia","Pala Alpitour, Turín, Italia",2022,Turín,41,Italia,RAI
